geometry,count,time
"POLYGON ((-77.55849671333333 -158.35748256, -76.45150442666666 -158.35748256, -76.45150442666666 -155.9582634, -77.55849671333333 -155.9582634, -77.55849671333333 -158.35748256))",26,2022-12-27T11:08:33.000Z
"POLYGON ((-77.55849671333333 -155.9582634, -76.45150442666666 -155.9582634, -76.45150442666666 -153.55904424, -77.55849671333333 -153.55904424, -77.55849671333333 -155.9582634))",52,2022-12-27T11:08:33.000Z
"POLYGON ((-77.55849671333333 -153.55904424, -76.45150442666666 -153.55904424, -76.45150442666666 -151.15982508, -77.55849671333333 -151.15982508, -77.55849671333333 -153.55904424))",56,2022-12-27T11:08:08.000Z
"POLYGON ((-77.55849671333333 -151.15982508, -76.45150442666666 -151.15982508, -76.45150442666666 -148.76060592, -77.55849671333333 -148.76060592, -77.55849671333333 -151.15982508))",82,2022-12-27T11:08:08.000Z
"POLYGON ((-77.55849671333333 -148.76060592, -76.45150442666666 -148.76060592, -76.45150442666666 -146.36138676, -77.55849671333333 -146.36138676, -77.55849671333333 -148.76060592))",82,2022-12-27T11:08:08.000Z
"POLYGON ((-77.55849671333333 -146.36138676, -76.45150442666666 -146.36138676, -76.45150442666666 -143.9621676, -77.55849671333333 -143.9621676, -77.55849671333333 -146.36138676))",86,2022-12-27T11:07:44.000Z
"POLYGON ((-77.55849671333333 -143.9621676, -76.45150442666666 -143.9621676, -76.45150442666666 -141.56294844, -77.55849671333333 -141.56294844, -77.55849671333333 -143.9621676))",82,2022-12-27T11:07:44.000Z
"POLYGON ((-77.55849671333333 -141.56294844, -76.45150442666666 -141.56294844, -76.45150442666666 -139.16372928, -77.55849671333333 -139.16372928, -77.55849671333333 -141.56294844))",83,2022-12-27T11:07:44.000Z
"POLYGON ((-77.55849671333333 -139.16372928, -76.45150442666666 -139.16372928, -76.45150442666666 -136.76451012, -77.55849671333333 -136.76451012, -77.55849671333333 -139.16372928))",86,2022-12-27T11:07:19.000Z
"POLYGON ((-77.55849671333333 -136.76451012, -76.45150442666666 -136.76451012, -76.45150442666666 -134.36529096, -77.55849671333333 -134.36529096, -77.55849671333333 -136.76451012))",83,2022-12-27T11:07:19.000Z
"POLYGON ((-77.55849671333333 -134.36529096, -76.45150442666666 -134.36529096, -76.45150442666666 -131.9660718, -77.55849671333333 -131.9660718, -77.55849671333333 -134.36529096))",113,2022-12-27T11:07:19.000Z
"POLYGON ((-77.55849671333333 -131.9660718, -76.45150442666666 -131.9660718, -76.45150442666666 -129.56685264, -77.55849671333333 -129.56685264, -77.55849671333333 -131.9660718))",89,2022-12-26T08:49:22.000Z
"POLYGON ((-77.55849671333333 -129.56685264, -76.45150442666666 -129.56685264, -76.45150442666666 -127.16763348, -77.55849671333333 -127.16763348, -77.55849671333333 -129.56685264))",60,2022-12-26T08:48:57.000Z
"POLYGON ((-77.55849671333333 -127.16763348, -76.45150442666666 -127.16763348, -76.45150442666666 -124.76841432, -77.55849671333333 -124.76841432, -77.55849671333333 -127.16763348))",120,2022-12-26T08:48:57.000Z
"POLYGON ((-77.55849671333333 -124.76841432, -76.45150442666666 -124.76841432, -76.45150442666666 -122.36919516, -77.55849671333333 -122.36919516, -77.55849671333333 -124.76841432))",143,2022-12-26T10:25:39.000Z
"POLYGON ((-77.55849671333333 -122.36919516, -76.45150442666666 -122.36919516, -76.45150442666666 -119.969976, -77.55849671333333 -119.969976, -77.55849671333333 -122.36919516))",60,2022-12-26T08:48:31.000Z
"POLYGON ((-77.55849671333333 -119.969976, -76.45150442666666 -119.969976, -76.45150442666666 -117.57075684, -77.55849671333333 -117.57075684, -77.55849671333333 -119.969976))",120,2022-12-26T08:48:31.000Z
"POLYGON ((-77.55849671333333 -117.57075684, -76.45150442666666 -117.57075684, -76.45150442666666 -115.17153768, -77.55849671333333 -115.17153768, -77.55849671333333 -117.57075684))",90,2022-12-26T08:48:31.000Z
"POLYGON ((-77.55849671333333 -115.17153768, -76.45150442666666 -115.17153768, -76.45150442666666 -112.77231852, -77.55849671333333 -112.77231852, -77.55849671333333 -115.17153768))",30,2022-12-26T08:48:06.000Z
"POLYGON ((-77.55849671333333 -112.77231852, -76.45150442666666 -112.77231852, -76.45150442666666 -110.37309936, -77.55849671333333 -110.37309936, -77.55849671333333 -112.77231852))",60,2022-12-26T08:48:06.000Z
"POLYGON ((-77.55849671333333 -110.37309936, -76.45150442666666 -110.37309936, -76.45150442666666 -107.9738802, -77.55849671333333 -107.9738802, -77.55849671333333 -110.37309936))",90,2022-12-26T08:48:06.000Z
"POLYGON ((-77.55849671333333 -107.9738802, -76.45150442666666 -107.9738802, -76.45150442666666 -105.57466104, -77.55849671333333 -105.57466104, -77.55849671333333 -107.9738802))",90,2022-12-26T08:47:42.000Z
"POLYGON ((-77.55849671333333 -105.57466104, -76.45150442666666 -105.57466104, -76.45150442666666 -103.17544188, -77.55849671333333 -103.17544188, -77.55849671333333 -105.57466104))",120,2022-12-26T08:47:42.000Z
"POLYGON ((-77.55849671333333 -103.17544188, -76.45150442666666 -103.17544188, -76.45150442666666 -100.77622272, -77.55849671333333 -100.77622272, -77.55849671333333 -103.17544188))",120,2022-12-27T04:36:14.000Z
"POLYGON ((-77.55849671333333 -100.77622272, -76.45150442666666 -100.77622272, -76.45150442666666 -98.37700356000001, -77.55849671333333 -98.37700356000001, -77.55849671333333 -100.77622272))",150,2022-12-27T04:36:14.000Z
"POLYGON ((-77.55849671333333 -98.37700356000001, -76.45150442666666 -98.37700356000001, -76.45150442666666 -95.9777844, -77.55849671333333 -95.9777844, -77.55849671333333 -98.37700356000001))",120,2022-12-27T04:35:49.000Z
"POLYGON ((-77.55849671333333 -95.9777844, -76.45150442666666 -95.9777844, -76.45150442666666 -93.57856524, -77.55849671333333 -93.57856524, -77.55849671333333 -95.9777844))",119,2022-12-27T04:35:49.000Z
"POLYGON ((-77.55849671333333 -93.57856524, -76.45150442666666 -93.57856524, -76.45150442666666 -91.17934608, -77.55849671333333 -91.17934608, -77.55849671333333 -93.57856524))",233,2022-12-27T04:35:49.000Z
"POLYGON ((-77.55849671333333 -91.17934608, -76.45150442666666 -91.17934608, -76.45150442666666 -88.78012692000001, -77.55849671333333 -88.78012692000001, -77.55849671333333 -91.17934608))",259,2022-12-27T04:35:25.000Z
"POLYGON ((-77.55849671333333 -88.78012692000001, -76.45150442666666 -88.78012692000001, -76.45150442666666 -86.38090776000001, -77.55849671333333 -86.38090776000001, -77.55849671333333 -88.78012692000001))",259,2022-12-27T04:35:25.000Z
"POLYGON ((-77.55849671333333 -86.38090776000001, -76.45150442666666 -86.38090776000001, -76.45150442666666 -83.98168860000001, -77.55849671333333 -83.98168860000001, -77.55849671333333 -86.38090776000001))",313,2022-12-27T04:35:25.000Z
"POLYGON ((-77.55849671333333 -83.98168860000001, -76.45150442666666 -83.98168860000001, -76.45150442666666 -81.58246944000001, -77.55849671333333 -81.58246944000001, -77.55849671333333 -83.98168860000001))",257,2022-12-27T04:35:00.000Z
"POLYGON ((-77.55849671333333 -81.58246944000001, -76.45150442666666 -81.58246944000001, -76.45150442666666 -79.18325028000001, -77.55849671333333 -79.18325028000001, -77.55849671333333 -81.58246944000001))",229,2022-12-27T04:35:00.000Z
"POLYGON ((-77.55849671333333 -79.18325028000001, -76.45150442666666 -79.18325028000001, -76.45150442666666 -76.78403112000001, -77.55849671333333 -76.78403112000001, -77.55849671333333 -79.18325028000001))",313,2022-12-27T04:35:00.000Z
"POLYGON ((-77.55849671333333 -76.78403112000001, -76.45150442666666 -76.78403112000001, -76.45150442666666 -74.38481196000001, -77.55849671333333 -74.38481196000001, -77.55849671333333 -76.78403112000001))",226,2022-12-27T04:34:34.000Z
"POLYGON ((-77.55849671333333 -74.38481196000001, -76.45150442666666 -74.38481196000001, -76.45150442666666 -71.98559280000001, -77.55849671333333 -71.98559280000001, -77.55849671333333 -74.38481196000001))",256,2022-12-27T04:34:34.000Z
"POLYGON ((-77.55849671333333 -71.98559280000001, -76.45150442666666 -71.98559280000001, -76.45150442666666 -69.58637364000001, -77.55849671333333 -69.58637364000001, -77.55849671333333 -71.98559280000001))",258,2022-12-27T04:34:34.000Z
"POLYGON ((-77.55849671333333 -69.58637364000001, -76.45150442666666 -69.58637364000001, -76.45150442666666 -67.18715448, -77.55849671333333 -67.18715448, -77.55849671333333 -69.58637364000001))",172,2022-12-27T04:34:06.000Z
"POLYGON ((-77.55849671333333 -67.18715448, -76.45150442666666 -67.18715448, -76.45150442666666 -64.78793532, -77.55849671333333 -64.78793532, -77.55849671333333 -67.18715448))",171,2022-12-27T04:34:06.000Z
"POLYGON ((-77.55849671333333 -64.78793532, -76.45150442666666 -64.78793532, -76.45150442666666 -62.38871616000002, -77.55849671333333 -62.38871616000002, -77.55849671333333 -64.78793532))",201,2022-12-27T04:34:06.000Z
"POLYGON ((-77.55849671333333 -62.38871616000002, -76.45150442666666 -62.38871616000002, -76.45150442666666 -59.98949700000001, -77.55849671333333 -59.98949700000001, -77.55849671333333 -62.38871616000002))",58,2022-12-27T02:56:44.000Z
