geometry,count
"POLYGON ((-78.66548899999999 -115.17153768, -77.55849671333333 -115.17153768, -77.55849671333333 -112.77231852, -78.66548899999999 -112.77231852, -78.66548899999999 -115.17153768))",30
"POLYGON ((-78.66548899999999 -112.77231852, -77.55849671333333 -112.77231852, -77.55849671333333 -110.37309936, -78.66548899999999 -110.37309936, -78.66548899999999 -112.77231852))",30
"POLYGON ((-78.66548899999999 -110.37309936, -77.55849671333333 -110.37309936, -77.55849671333333 -107.9738802, -78.66548899999999 -107.9738802, -78.66548899999999 -110.37309936))",60
"POLYGON ((-78.66548899999999 -107.9738802, -77.55849671333333 -107.9738802, -77.55849671333333 -105.57466104, -78.66548899999999 -105.57466104, -78.66548899999999 -107.9738802))",30
"POLYGON ((-78.66548899999999 -105.57466104, -77.55849671333333 -105.57466104, -77.55849671333333 -103.17544188, -78.66548899999999 -103.17544188, -78.66548899999999 -105.57466104))",0
"POLYGON ((-78.66548899999999 -103.17544188, -77.55849671333333 -103.17544188, -77.55849671333333 -100.77622272, -78.66548899999999 -100.77622272, -78.66548899999999 -103.17544188))",30
"POLYGON ((-78.66548899999999 -100.77622272, -77.55849671333333 -100.77622272, -77.55849671333333 -98.37700356000001, -78.66548899999999 -98.37700356000001, -78.66548899999999 -100.77622272))",60
"POLYGON ((-78.66548899999999 -98.37700356000001, -77.55849671333333 -98.37700356000001, -77.55849671333333 -95.9777844, -78.66548899999999 -95.9777844, -78.66548899999999 -98.37700356000001))",30
"POLYGON ((-78.66548899999999 -95.9777844, -77.55849671333333 -95.9777844, -77.55849671333333 -93.57856524, -78.66548899999999 -93.57856524, -78.66548899999999 -95.9777844))",59
"POLYGON ((-78.66548899999999 -93.57856524, -77.55849671333333 -93.57856524, -77.55849671333333 -91.17934608, -78.66548899999999 -91.17934608, -78.66548899999999 -93.57856524))",147
"POLYGON ((-78.66548899999999 -91.17934608, -77.55849671333333 -91.17934608, -77.55849671333333 -88.78012692000001, -78.66548899999999 -88.78012692000001, -78.66548899999999 -91.17934608))",145
"POLYGON ((-78.66548899999999 -88.78012692000001, -77.55849671333333 -88.78012692000001, -77.55849671333333 -86.38090776000001, -78.66548899999999 -86.38090776000001, -78.66548899999999 -88.78012692000001))",175
"POLYGON ((-78.66548899999999 -86.38090776000001, -77.55849671333333 -86.38090776000001, -77.55849671333333 -83.98168860000001, -78.66548899999999 -83.98168860000001, -78.66548899999999 -86.38090776000001))",146
"POLYGON ((-78.66548899999999 -83.98168860000001, -77.55849671333333 -83.98168860000001, -77.55849671333333 -81.58246944000001, -78.66548899999999 -81.58246944000001, -78.66548899999999 -83.98168860000001))",198
"POLYGON ((-78.66548899999999 -81.58246944000001, -77.55849671333333 -81.58246944000001, -77.55849671333333 -79.18325028000001, -78.66548899999999 -79.18325028000001, -78.66548899999999 -81.58246944000001))",200
"POLYGON ((-78.66548899999999 -79.18325028000001, -77.55849671333333 -79.18325028000001, -77.55849671333333 -76.78403112000001, -78.66548899999999 -76.78403112000001, -78.66548899999999 -79.18325028000001))",172
"POLYGON ((-78.66548899999999 -76.78403112000001, -77.55849671333333 -76.78403112000001, -77.55849671333333 -74.38481196000001, -78.66548899999999 -74.38481196000001, -78.66548899999999 -76.78403112000001))",143
"POLYGON ((-78.66548899999999 -74.38481196000001, -77.55849671333333 -74.38481196000001, -77.55849671333333 -71.98559280000001, -78.66548899999999 -71.98559280000001, -78.66548899999999 -74.38481196000001))",200
"POLYGON ((-78.66548899999999 -71.98559280000001, -77.55849671333333 -71.98559280000001, -77.55849671333333 -69.58637364000001, -78.66548899999999 -69.58637364000001, -78.66548899999999 -71.98559280000001))",144
"POLYGON ((-78.66548899999999 -69.58637364000001, -77.55849671333333 -69.58637364000001, -77.55849671333333 -67.18715448, -78.66548899999999 -67.18715448, -78.66548899999999 -69.58637364000001))",115
"POLYGON ((-78.66548899999999 -67.18715448, -77.55849671333333 -67.18715448, -77.55849671333333 -64.78793532, -78.66548899999999 -64.78793532, -78.66548899999999 -67.18715448))",115
"POLYGON ((-78.66548899999999 -64.78793532, -77.55849671333333 -64.78793532, -77.55849671333333 -62.38871616000002, -78.66548899999999 -62.38871616000002, -78.66548899999999 -64.78793532))",145
"POLYGON ((-78.66548899999999 -62.38871616000002, -77.55849671333333 -62.38871616000002, -77.55849671333333 -59.98949700000001, -78.66548899999999 -59.98949700000001, -78.66548899999999 -62.38871616000002))",60
"POLYGON ((-78.66548899999999 -59.98949700000001, -77.55849671333333 -59.98949700000001, -77.55849671333333 -57.59027784000001, -78.66548899999999 -57.59027784000001, -78.66548899999999 -59.98949700000001))",30
"POLYGON ((-78.66548899999999 -57.59027784000001, -77.55849671333333 -57.59027784000001, -77.55849671333333 -55.19105868000001, -78.66548899999999 -55.19105868000001, -78.66548899999999 -57.59027784000001))",60
"POLYGON ((-78.66548899999999 -55.19105868000001, -77.55849671333333 -55.19105868000001, -77.55849671333333 -52.79183952000001, -78.66548899999999 -52.79183952000001, -78.66548899999999 -55.19105868000001))",60
"POLYGON ((-78.66548899999999 -52.79183952000001, -77.55849671333333 -52.79183952000001, -77.55849671333333 -50.39262036000002, -78.66548899999999 -50.39262036000002, -78.66548899999999 -52.79183952000001))",30
"POLYGON ((-78.66548899999999 -50.39262036000002, -77.55849671333333 -50.39262036000002, -77.55849671333333 -47.99340120000002, -78.66548899999999 -47.99340120000002, -78.66548899999999 -50.39262036000002))",0
"POLYGON ((-78.66548899999999 -47.99340120000002, -77.55849671333333 -47.99340120000002, -77.55849671333333 -45.59418204000002, -78.66548899999999 -45.59418204000002, -78.66548899999999 -47.99340120000002))",0
"POLYGON ((-78.66548899999999 -45.59418204000002, -77.55849671333333 -45.59418204000002, -77.55849671333333 -43.19496288000002, -78.66548899999999 -43.19496288000002, -78.66548899999999 -45.59418204000002))",0
"POLYGON ((-78.66548899999999 -43.19496288000002, -77.55849671333333 -43.19496288000002, -77.55849671333333 -40.79574372000002, -78.66548899999999 -40.79574372000002, -78.66548899999999 -43.19496288000002))",0
"POLYGON ((-78.66548899999999 -40.79574372000002, -77.55849671333333 -40.79574372000002, -77.55849671333333 -38.39652456000002, -78.66548899999999 -38.39652456000002, -78.66548899999999 -40.79574372000002))",0
"POLYGON ((-78.66548899999999 -38.39652456000002, -77.55849671333333 -38.39652456000002, -77.55849671333333 -35.99730540000002, -78.66548899999999 -35.99730540000002, -78.66548899999999 -38.39652456000002))",0
"POLYGON ((-78.66548899999999 -35.99730540000002, -77.55849671333333 -35.99730540000002, -77.55849671333333 -33.59808624000001, -78.66548899999999 -33.59808624000001, -78.66548899999999 -35.99730540000002))",21
"POLYGON ((-78.66548899999999 -33.59808624000001, -77.55849671333333 -33.59808624000001, -77.55849671333333 -31.19886708000001, -78.66548899999999 -31.19886708000001, -78.66548899999999 -33.59808624000001))",21
"POLYGON ((-78.66548899999999 -31.19886708000001, -77.55849671333333 -31.19886708000001, -77.55849671333333 -28.79964792000001, -78.66548899999999 -28.79964792000001, -78.66548899999999 -31.19886708000001))",0
"POLYGON ((-78.66548899999999 -28.79964792000001, -77.55849671333333 -28.79964792000001, -77.55849671333333 -26.40042876000001, -78.66548899999999 -26.40042876000001, -78.66548899999999 -28.79964792000001))",0
"POLYGON ((-78.66548899999999 -26.40042876000001, -77.55849671333333 -26.40042876000001, -77.55849671333333 -24.00120960000001, -78.66548899999999 -24.00120960000001, -78.66548899999999 -26.40042876000001))",0
"POLYGON ((-78.66548899999999 -24.00120960000001, -77.55849671333333 -24.00120960000001, -77.55849671333333 -21.60199044000001, -78.66548899999999 -21.60199044000001, -78.66548899999999 -24.00120960000001))",0
"POLYGON ((-78.66548899999999 -21.60199044000001, -77.55849671333333 -21.60199044000001, -77.55849671333333 -19.20277128000001, -78.66548899999999 -19.20277128000001, -78.66548899999999 -21.60199044000001))",0
"POLYGON ((-78.66548899999999 -19.20277128000001, -77.55849671333333 -19.20277128000001, -77.55849671333333 -16.80355212000001, -78.66548899999999 -16.80355212000001, -78.66548899999999 -19.20277128000001))",0
"POLYGON ((-78.66548899999999 -16.80355212000001, -77.55849671333333 -16.80355212000001, -77.55849671333333 -14.40433296, -78.66548899999999 -14.40433296, -78.66548899999999 -16.80355212000001))",0
"POLYGON ((-78.66548899999999 -14.40433296, -77.55849671333333 -14.40433296, -77.55849671333333 -12.0051138, -78.66548899999999 -12.0051138, -78.66548899999999 -14.40433296))",0
"POLYGON ((-78.66548899999999 -12.0051138, -77.55849671333333 -12.0051138, -77.55849671333333 -9.605894640000002, -78.66548899999999 -9.605894640000002, -78.66548899999999 -12.0051138))",0
"POLYGON ((-78.66548899999999 -9.605894640000002, -77.55849671333333 -9.605894640000002, -77.55849671333333 -7.206675480000001, -78.66548899999999 -7.206675480000001, -78.66548899999999 -9.605894640000002))",0
"POLYGON ((-78.66548899999999 -7.206675480000001, -77.55849671333333 -7.206675480000001, -77.55849671333333 -4.80745632, -78.66548899999999 -4.80745632, -78.66548899999999 -7.206675480000001))",0
"POLYGON ((-78.66548899999999 -4.80745632, -77.55849671333333 -4.80745632, -77.55849671333333 -2.408237159999999, -78.66548899999999 -2.408237159999999, -78.66548899999999 -4.80745632))",0
"POLYGON ((-78.66548899999999 -2.408237159999999, -77.55849671333333 -2.408237159999999, -77.55849671333333 -0.00901800000002595, -78.66548899999999 -0.00901800000002595, -78.66548899999999 -2.408237159999999))",0
"POLYGON ((-78.66548899999999 -0.00901800000002595, -77.55849671333333 -0.00901800000002595, -77.55849671333333 2.390201159999975, -78.66548899999999 2.390201159999975, -78.66548899999999 -0.00901800000002595))",0
"POLYGON ((-78.66548899999999 2.390201159999975, -77.55849671333333 2.390201159999975, -77.55849671333333 4.789420319999977, -78.66548899999999 4.789420319999977, -78.66548899999999 2.390201159999975))",0
"POLYGON ((-78.66548899999999 4.789420319999977, -77.55849671333333 4.789420319999977, -77.55849671333333 7.188639479999978, -78.66548899999999 7.188639479999978, -78.66548899999999 4.789420319999977))",0
"POLYGON ((-78.66548899999999 7.188639479999978, -77.55849671333333 7.188639479999978, -77.55849671333333 9.587858639999979, -78.66548899999999 9.587858639999979, -78.66548899999999 7.188639479999978))",0
"POLYGON ((-78.66548899999999 9.587858639999979, -77.55849671333333 9.587858639999979, -77.55849671333333 11.98707779999998, -78.66548899999999 11.98707779999998, -78.66548899999999 9.587858639999979))",0
